"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.11.2021","155,58","157,09","157,30","153,71","14,49M","-1,11%"
"17.11.2021","157,33","158,73","158,89","156,75","14,70M","-0,94%"
"16.11.2021","158,83","159,06","160,24","158,55","15,52M","0,25%"
"15.11.2021","158,43","160,09","160,72","157,66","21,29M","-0,75%"
"12.11.2021","159,63","163,52","163,61","158,93","25,64M","-1,53%"
"11.11.2021","162,11","162,89","163,96","158,33","62,37M","-7,07%"
"10.11.2021","174,45","174,69","176,87","173,87","11,05M","-0,38%"
"09.11.2021","175,11","176,95","177,12","173,21","7,29M","-1,00%"
"08.11.2021","176,87","178,69","179,25","176,10","10,58M","0,71%"
"05.11.2021","175,63","173,50","176,99","172,33","16,86M","3,14%"
"04.11.2021","170,28","170,03","170,42","168,67","7,51M","0,12%"
"03.11.2021","170,08","169,70","170,19","168,37","6,83M","0,15%"
"02.11.2021","169,83","170,03","170,85","168,98","6,78M","-0,21%"
"01.11.2021","170,19","169,21","171,25","169,09","8,18M","0,66%"
"29.10.2021","169,07","169,02","170,46","168,15","7,60M","-0,36%"
"28.10.2021","169,68","169,48","170,35","168,60","7,88M","0,08%"
"27.10.2021","169,55","171,77","172,04","169,43","7,05M","-1,45%"
"26.10.2021","172,04","172,95","173,12","170,71","5,85M","0,02%"
"25.10.2021","172,01","169,90","172,57","169,02","9,80M","1,53%"
"22.10.2021","169,42","170,57","170,80","168,60","7,85M","-1,12%"
"21.10.2021","171,34","170,20","172,50","170,10","7,51M","0,46%"
"20.10.2021","170,55","170,97","171,02","169,88","9,74M","-0,37%"
"19.10.2021","171,18","171,44","171,58","170,18","9,67M","0,02%"
"18.10.2021","171,14","172,36","173,34","169,80","20,49M","-3,01%"
"15.10.2021","176,46","175,69","178,89","174,10","13,94M","1,18%"
"14.10.2021","174,41","174,07","176,02","174,00","7,45M","0,84%"
"13.10.2021","172,96","173,63","173,70","170,94","8,92M","-0,10%"
"12.10.2021","173,13","173,62","174,49","172,54","5,19M","-0,22%"
"11.10.2021","173,52","176,02","176,52","173,48","8,05M","-1,82%"
"08.10.2021","176,74","177,93","178,60","176,40","4,13M","-0,55%"
"07.10.2021","177,71","177,70","179,63","177,33","7,78M","1,27%"
"06.10.2021","175,48","173,00","175,71","171,55","6,01M","0,50%"
"05.10.2021","174,61","173,83","176,24","173,61","6,80M","0,66%"
"04.10.2021","173,46","175,56","175,96","172,66","7,20M","-1,45%"
"01.10.2021","176,01","172,28","177,32","171,97","12,17M","4,04%"
"30.09.2021","169,17","173,10","173,68","169,10","13,98M","-2,03%"
"29.09.2021","172,68","174,25","174,96","172,59","6,24M","-1,05%"
"28.09.2021","174,52","177,75","178,00","173,86","9,13M","-2,10%"
"27.09.2021","178,26","176,63","179,45","175,96","7,75M","1,28%"
"24.09.2021","176,00","175,30","176,70","175,08","5,71M","-0,14%"
"23.09.2021","176,25","174,94","177,19","174,37","8,05M","1,50%"
"22.09.2021","173,65","172,94","175,34","171,66","14,21M","1,45%"
"21.09.2021","171,17","180,32","182,23","169,03","23,22M","-4,17%"
"20.09.2021","178,61","179,74","180,88","176,55","8,06M","-2,65%"
"17.09.2021","183,47","182,91","185,90","182,73","10,04M","0,07%"
